,0.001,0.01,0.99,0.999
FESA3,-0.3561721689303776,-0.09158581060662453,0.10929111542366785,0.2519596951310925
TGMA3,-0.13082984929964908,-0.06709378805226118,0.06742206829683091,0.12184389548250658
FHER3,-0.24397472690867686,-0.10735625331912707,0.1390396850625741,0.2866955056217641
BMEB3,-0.17233775949063407,-0.09251215445219677,0.09397200732336679,0.23195965066815422
TOTS3,-0.1185963085334801,-0.05935293184962163,0.05658495405801596,0.08627175089206505
BPAC11,-0.1843467236816774,-0.06578221123157828,0.07255807784193954,0.15706027466215183
ISAE3,-0.14854972155239743,-0.054907717763242665,0.05612352574327881,0.11290465827931179
ALPA3,-0.1386470704396173,-0.0762655274277253,0.08137811178118344,0.14080946655679333
GOGL35,-0.08428289847156395,-0.047202266657866886,0.05887310648395304,0.09301072030226859
AIGB34,-0.15613223256870548,-0.05386352764617456,0.06268952301767511,0.1306953624075087
CVCB3,-0.19669349204346148,-0.09836292005409693,0.10408852965741501,0.17598574940278797
FESA4,-0.11318630620710116,-0.06530054194440163,0.06633264842644108,0.10004217904718708
AMZO34,-0.11882849588938466,-0.05415651840426953,0.06177168494339632,0.16448673339404063
LREN3,-0.10826186485459605,-0.05988842157446405,0.061511355463840484,0.10952264661020113
BBSE3,-0.09645411152793916,-0.045940175755084335,0.04244923822452849,0.0797340881599885
CTSH34,-0.11336984502782989,-0.04588542002160199,0.04924784354199334,0.15517031396324596
BMYB34,-0.12208783599113497,-0.05256485113993473,0.05535519592231569,0.12413505666521975
SCHW34,-0.1495250176057669,-0.06479751562947955,0.06422713791430806,0.13835555132783334
WIZC3,-0.18594201008237624,-0.07649525681378702,0.07472220849719818,0.1466685391784886
XRXB34,-0.21852337355067525,-0.0752594965448564,0.07847416951910921,0.18430754332409574
DXCO3,-0.1414205658261076,-0.06329744320123379,0.06862478266025235,0.10165101787971965
BPAC5,-0.1630678940889788,-0.08387005683046565,0.07936125212014121,0.148822407414112
SUZB3,-0.10057179525334621,-0.04566760142630385,0.055290851575837595,0.10481559118481427
PETR4,-0.1628507543169311,-0.07336326626581012,0.07496903315817831,0.12619654293829013
RPMG3,-0.2222035799268984,-0.10963712222180858,0.1389061603050267,0.3522552402365879
SSFO34,-0.14117044850700888,-0.060334825122979656,0.06703254632377416,0.13078984729479473
