,0
BURT39,0.7301387137452712
BOEF39,0.7301387137452712
BIXG39,0.7301387137452712
BICL39,0.7298865069356872
W2ST34,0.7281210592686003
Z2LL34,0.7278688524590164
VITT3,0.7276166456494325
P2LN34,0.7271122320302649
P2CO34,0.7263556116015133
V2EE34,0.7261034047919294
F2NV34,0.7258511979823455
C2OI34,0.7258511979823455
E2EF34,0.7255989911727616
PPLA35,0.7255989911727616
C2PT34,0.7255989911727616
R2HH34,0.7253467843631778
B2HI34,0.7253467843631778
G2DD34,0.725094577553594
B2MB34,0.725094577553594
D2PZ34,0.725094577553594
D2AS34,0.72484237074401
P2LT34,0.72484237074401
R2BL34,0.72484237074401
H2UB34,0.72484237074401
P2IN34,0.72484237074401
U2PW34,0.72484237074401
E2TS34,0.72484237074401
P2AT34,0.72484237074401
F2VR34,0.72484237074401
E2ST34,0.72484237074401
LAND3,0.7233291298865069
VVEO3,0.7230769230769231
RAIZ4,0.7225725094577553
FIQE3,0.7213114754098361
ARML3,0.7213114754098361
TRAD3,0.7210592686002522
F1LI34,0.7210592686002522
AGXY3,0.7208070617906683
MLAS3,0.7200504413619168
DESK3,0.7200504413619168
TTEN3,0.7192938209331652
CBAV3,0.7190416141235814
BRBI11,0.7185372005044136
SMFT3,0.7185372005044136
P2EN34,0.7162673392181589
W1BD34,0.7127364438839848
C2HD34,0.7122320302648172
DOTZ3,0.7109709962168979
BFAV39,0.710718789407314
BHEF39,0.710718789407314
BVLU39,0.710718789407314
BCHI39,0.710718789407314
BIVW39,0.710718789407314
BEFG39,0.710718789407314
BFXI39,0.710718789407314
BXTC39,0.710718789407314
BEWJ39,0.710718789407314
BMTU39,0.710718789407314
BEWL39,0.710718789407314
BIXJ39,0.710718789407314
BEFV39,0.710718789407314
BIWF39,0.710718789407314
BIAU39,0.710718789407314
BGWH39,0.710718789407314
BIHI39,0.710718789407314
BEZU39,0.710718789407314
BEEM39,0.710718789407314
BIYG39,0.710718789407314
BIVE39,0.710718789407314
BIEV39,0.710718789407314
BIYF39,0.710718789407314
BAER39,0.710718789407314
BEWG39,0.710718789407314
BIBB39,0.710718789407314
BIXN39,0.710718789407314
BITO39,0.710718789407314
BEWC39,0.710718789407314
BQUA39,0.710718789407314
BIGF39,0.710718789407314
BCWV39,0.710718789407314
BIVB39,0.710718789407314
BUSR39,0.710718789407314
BEWU39,0.710718789407314
BEWQ39,0.710718789407314
BEMV39,0.710718789407314
BEWA39,0.710718789407314
BIYW39,0.710718789407314
BGRT39,0.710718789407314
BSIZ39,0.710718789407314
BDVY39,0.710718789407314
G2DI33,0.7087011349306431
MATD3,0.7079445145018916
IFCM3,0.7069356872635562
RECV3,0.7064312736443884
BSUS39,0.7061790668348046
SOJA3,0.7056746532156368
C2ZR34,0.7056746532156368
CXSE3,0.7056746532156368
GGPS3,0.7051702395964691
BLAU3,0.7036569987389659
ALLD3,0.7023959646910467
S2EA34,0.701891551071879
M2PW34,0.7016393442622951
B2YN34,0.7016393442622951
D2KN34,0.7013871374527112
S2NW34,0.7013871374527112
S2HO34,0.7013871374527112
U2ST34,0.7013871374527112
K2CG34,0.7011349306431274
T2TD34,0.7011349306431274
S2UI34,0.7011349306431274
T2DH34,0.7011349306431274
VVAR11,0.6996216897856242
J1EG34,0.6996216897856242
K1EY34,0.6983606557377049
J1BH34,0.6965952080706179
ASAI3,0.6950819672131148
CMIN3,0.6938209331651954
C1MI34,0.6933165195460277
F1TV34,0.6933165195460277
L1NC34,0.6933165195460277
ORVR3,0.6930643127364439
WEST3,0.69281210592686
OPCT3,0.69281210592686
CSED3,0.6925598991172761
BMOB3,0.6925598991172761
JALL3,0.6918032786885245
INTB3,0.6918032786885245
ESPA3,0.6912988650693569
VAMO3,0.6907944514501891
AIRB34,0.6905422446406053
PAGS34,0.6905422446406053
HBRE3,0.6895334174022698
AVLL3,0.6857503152585119
L1YV34,0.6857503152585119
S1BS34,0.6849936948297604
I1QY34,0.6847414880201765
NGRD3,0.6842370744010088
M1UF34,0.6834804539722572
RDOR3,0.6832282471626734
O1DF34,0.6819672131147541
R1EL34,0.6817150063051702
BEGE39,0.6807061790668348
S1IV34,0.6799495586380833
I1EX34,0.6794451450189155
O1TI34,0.6794451450189155
I1QV34,0.6791929382093317
W1SO34,0.6791929382093317
M1TC34,0.6789407313997478
C1GP34,0.6789407313997478
O1KT34,0.6784363177805801
